id,date,domainId,serviceId,environment,costAmount
cost-2534,2025-07-11,clearwater-trade,eks,uat,116.05
cost-2535,2025-07-11,clearwater-trade,eks,prod,322.38
cost-2536,2025-07-11,clearwater-trade,cloudwatch,dev,11.91
cost-2537,2025-07-11,clearwater-trade,cloudwatch,uat,25.62
cost-2538,2025-07-11,clearwater-trade,cloudwatch,prod,93.64
cost-2539,2025-07-11,clearwater-settlement,ec2,dev,76.59
cost-2540,2025-07-11,clearwater-settlement,ec2,uat,151.44
cost-2541,2025-07-11,clearwater-settlement,ec2,prod,534.17
cost-2542,2025-07-11,clearwater-settlement,rds,dev,64.13
cost-2543,2025-07-11,clearwater-settlement,rds,uat,141.15
cost-2544,2025-07-11,clearwater-settlement,rds,prod,492.86
cost-2545,2025-07-11,clearwater-settlement,s3,dev,18.07
cost-2546,2025-07-11,clearwater-settlement,s3,uat,31.31
cost-2547,2025-07-11,clearwater-settlement,s3,prod,140.81
cost-2548,2025-07-11,clearwater-settlement,lambda,dev,29.11
cost-2549,2025-07-11,clearwater-settlement,lambda,uat,57.28
cost-2550,2025-07-11,clearwater-settlement,lambda,prod,190.54
cost-2551,2025-07-11,clearwater-settlement,eks,dev,37.28
cost-2552,2025-07-11,clearwater-settlement,eks,uat,65.40
cost-2553,2025-07-11,clearwater-settlement,eks,prod,264.14
cost-2554,2025-07-11,clearwater-settlement,cloudwatch,dev,11.62
cost-2555,2025-07-11,clearwater-settlement,cloudwatch,uat,24.63
cost-2556,2025-07-11,clearwater-settlement,cloudwatch,prod,84.02
cost-2557,2025-07-11,clearwater-sales,ec2,dev,28.38
cost-2558,2025-07-11,clearwater-sales,ec2,uat,63.84
cost-2559,2025-07-11,clearwater-sales,ec2,prod,202.23
cost-2560,2025-07-11,clearwater-sales,rds,dev,15.72
cost-2561,2025-07-11,clearwater-sales,rds,uat,34.29
cost-2562,2025-07-11,clearwater-sales,rds,prod,141.90
cost-2563,2025-07-11,clearwater-sales,s3,dev,15.81
cost-2564,2025-07-11,clearwater-sales,s3,uat,28.69
cost-2565,2025-07-11,clearwater-sales,s3,prod,87.66
cost-2566,2025-07-11,clearwater-sales,lambda,dev,36.09
cost-2567,2025-07-11,clearwater-sales,lambda,uat,66.19
cost-2568,2025-07-11,clearwater-sales,lambda,prod,241.85
cost-2569,2025-07-11,clearwater-sales,eks,dev,11.83
cost-2570,2025-07-11,clearwater-sales,eks,uat,22.75
cost-2571,2025-07-11,clearwater-sales,eks,prod,94.02
cost-2572,2025-07-11,clearwater-sales,cloudwatch,dev,10.10
cost-2573,2025-07-11,clearwater-sales,cloudwatch,uat,19.20
cost-2574,2025-07-11,clearwater-sales,cloudwatch,prod,71.88
cost-2575,2025-07-11,clearwater-collateral,ec2,dev,12.97
cost-2576,2025-07-11,clearwater-collateral,ec2,uat,25.64
cost-2577,2025-07-11,clearwater-collateral,ec2,prod,97.56
cost-2578,2025-07-11,clearwater-collateral,rds,dev,34.82
cost-2579,2025-07-11,clearwater-collateral,rds,uat,71.71
cost-2580,2025-07-11,clearwater-collateral,rds,prod,231.84
cost-2581,2025-07-11,clearwater-collateral,s3,dev,31.14
cost-2582,2025-07-11,clearwater-collateral,s3,uat,52.31
cost-2583,2025-07-11,clearwater-collateral,s3,prod,207.41
cost-2584,2025-07-11,clearwater-collateral,lambda,dev,6.76
cost-2585,2025-07-11,clearwater-collateral,lambda,uat,15.92
cost-2586,2025-07-11,clearwater-collateral,lambda,prod,46.33
cost-2587,2025-07-11,clearwater-collateral,eks,dev,5.84
cost-2588,2025-07-11,clearwater-collateral,eks,uat,13.92
cost-2589,2025-07-11,clearwater-collateral,eks,prod,40.85
cost-2590,2025-07-11,clearwater-collateral,cloudwatch,dev,4.53
cost-2591,2025-07-11,clearwater-collateral,cloudwatch,uat,8.87
cost-2592,2025-07-11,clearwater-collateral,cloudwatch,prod,27.78
cost-2593,2025-07-12,clearwater-trade,ec2,dev,82.41
cost-2594,2025-07-12,clearwater-trade,ec2,uat,165.16
cost-2595,2025-07-12,clearwater-trade,ec2,prod,691.52
cost-2596,2025-07-12,clearwater-trade,rds,dev,68.61
cost-2597,2025-07-12,clearwater-trade,rds,uat,135.15
cost-2598,2025-07-12,clearwater-trade,rds,prod,427.84
cost-2599,2025-07-12,clearwater-trade,s3,dev,11.26
cost-2600,2025-07-12,clearwater-trade,s3,uat,28.84
cost-2601,2025-07-12,clearwater-trade,s3,prod,89.81
cost-2602,2025-07-12,clearwater-trade,lambda,dev,27.17
cost-2603,2025-07-12,clearwater-trade,lambda,uat,53.57
cost-2604,2025-07-12,clearwater-trade,lambda,prod,189.41
cost-2605,2025-07-12,clearwater-trade,eks,dev,43.88
cost-2606,2025-07-12,clearwater-trade,eks,uat,98.08
cost-2607,2025-07-12,clearwater-trade,eks,prod,377.14
cost-2608,2025-07-12,clearwater-trade,cloudwatch,dev,13.90
cost-2609,2025-07-12,clearwater-trade,cloudwatch,uat,23.53
cost-2610,2025-07-12,clearwater-trade,cloudwatch,prod,80.88
cost-2611,2025-07-12,clearwater-settlement,ec2,dev,76.33
cost-2612,2025-07-12,clearwater-settlement,ec2,uat,140.37
cost-2613,2025-07-12,clearwater-settlement,ec2,prod,542.18
cost-2614,2025-07-12,clearwater-settlement,rds,dev,70.69
cost-2615,2025-07-12,clearwater-settlement,rds,uat,142.77
cost-2616,2025-07-12,clearwater-settlement,rds,prod,438.02
cost-2617,2025-07-12,clearwater-settlement,s3,dev,16.69
cost-2618,2025-07-12,clearwater-settlement,s3,uat,39.41
cost-2619,2025-07-12,clearwater-settlement,s3,prod,132.70
cost-2620,2025-07-12,clearwater-settlement,lambda,dev,23.21
cost-2621,2025-07-12,clearwater-settlement,lambda,uat,60.67
cost-2622,2025-07-12,clearwater-settlement,lambda,prod,209.28
cost-2623,2025-07-12,clearwater-settlement,eks,dev,35.43
cost-2624,2025-07-12,clearwater-settlement,eks,uat,71.95
cost-2625,2025-07-12,clearwater-settlement,eks,prod,255.54
cost-2626,2025-07-12,clearwater-settlement,cloudwatch,dev,9.85
cost-2627,2025-07-12,clearwater-settlement,cloudwatch,uat,24.26
cost-2628,2025-07-12,clearwater-settlement,cloudwatch,prod,76.49
cost-2629,2025-07-12,clearwater-sales,ec2,dev,31.99
cost-2630,2025-07-12,clearwater-sales,ec2,uat,66.13
cost-2631,2025-07-12,clearwater-sales,ec2,prod,223.82
cost-2632,2025-07-12,clearwater-sales,rds,dev,16.71
cost-2633,2025-07-12,clearwater-sales,rds,uat,34.23
cost-2634,2025-07-12,clearwater-sales,rds,prod,135.96
cost-2635,2025-07-12,clearwater-sales,s3,dev,14.93
cost-2636,2025-07-12,clearwater-sales,s3,uat,29.71
cost-2637,2025-07-12,clearwater-sales,s3,prod,110.85
cost-2638,2025-07-12,clearwater-sales,lambda,dev,38.59
cost-2639,2025-07-12,clearwater-sales,lambda,uat,69.90
cost-2640,2025-07-12,clearwater-sales,lambda,prod,222.77
cost-2641,2025-07-12,clearwater-sales,eks,dev,12.23
cost-2642,2025-07-12,clearwater-sales,eks,uat,22.56
cost-2643,2025-07-12,clearwater-sales,eks,prod,75.95
cost-2644,2025-07-12,clearwater-sales,cloudwatch,dev,11.09
cost-2645,2025-07-12,clearwater-sales,cloudwatch,uat,21.70
cost-2646,2025-07-12,clearwater-sales,cloudwatch,prod,70.67
cost-2647,2025-07-12,clearwater-collateral,ec2,dev,11.85
cost-2648,2025-07-12,clearwater-collateral,ec2,uat,25.33
cost-2649,2025-07-12,clearwater-collateral,ec2,prod,106.00
cost-2650,2025-07-12,clearwater-collateral,rds,dev,33.98
cost-2651,2025-07-12,clearwater-collateral,rds,uat,59.35
cost-2652,2025-07-12,clearwater-collateral,rds,prod,240.65
cost-2653,2025-07-12,clearwater-collateral,s3,dev,28.81
cost-2654,2025-07-12,clearwater-collateral,s3,uat,58.13
cost-2655,2025-07-12,clearwater-collateral,s3,prod,181.29
cost-2656,2025-07-12,clearwater-collateral,lambda,dev,6.94
cost-2657,2025-07-12,clearwater-collateral,lambda,uat,14.55
cost-2658,2025-07-12,clearwater-collateral,lambda,prod,55.00
cost-2659,2025-07-12,clearwater-collateral,eks,dev,6.90
cost-2660,2025-07-12,clearwater-collateral,eks,uat,11.76
cost-2661,2025-07-12,clearwater-collateral,eks,prod,48.38
cost-2662,2025-07-12,clearwater-collateral,cloudwatch,dev,4.01
cost-2663,2025-07-12,clearwater-collateral,cloudwatch,uat,10.04
cost-2664,2025-07-12,clearwater-collateral,cloudwatch,prod,29.64
cost-2665,2025-07-13,clearwater-trade,ec2,dev,87.18
cost-2666,2025-07-13,clearwater-trade,ec2,uat,204.86
cost-2667,2025-07-13,clearwater-trade,ec2,prod,622.81
cost-2668,2025-07-13,clearwater-trade,rds,dev,64.81
cost-2669,2025-07-13,clearwater-trade,rds,uat,113.34
cost-2670,2025-07-13,clearwater-trade,rds,prod,395.54
cost-2671,2025-07-13,clearwater-trade,s3,dev,13.08
cost-2672,2025-07-13,clearwater-trade,s3,uat,25.98
cost-2673,2025-07-13,clearwater-trade,s3,prod,88.54
cost-2674,2025-07-13,clearwater-trade,lambda,dev,28.93
cost-2675,2025-07-13,clearwater-trade,lambda,uat,44.48
cost-2676,2025-07-13,clearwater-trade,lambda,prod,180.23
cost-2677,2025-07-13,clearwater-trade,eks,dev,56.98
cost-2678,2025-07-13,clearwater-trade,eks,uat,90.35
cost-2679,2025-07-13,clearwater-trade,eks,prod,410.38
cost-2680,2025-07-13,clearwater-trade,cloudwatch,dev,14.53
cost-2681,2025-07-13,clearwater-trade,cloudwatch,uat,29.38
cost-2682,2025-07-13,clearwater-trade,cloudwatch,prod,96.55
cost-2683,2025-07-13,clearwater-settlement,ec2,dev,64.79
cost-2684,2025-07-13,clearwater-settlement,ec2,uat,121.49
cost-2685,2025-07-13,clearwater-settlement,ec2,prod,454.05
cost-2686,2025-07-13,clearwater-settlement,rds,dev,69.54
cost-2687,2025-07-13,clearwater-settlement,rds,uat,155.18
cost-2688,2025-07-13,clearwater-settlement,rds,prod,531.67
cost-2689,2025-07-13,clearwater-settlement,s3,dev,18.39
cost-2690,2025-07-13,clearwater-settlement,s3,uat,34.62
cost-2691,2025-07-13,clearwater-settlement,s3,prod,111.44
cost-2692,2025-07-13,clearwater-settlement,lambda,dev,28.83
cost-2693,2025-07-13,clearwater-settlement,lambda,uat,46.56
cost-2694,2025-07-13,clearwater-settlement,lambda,prod,205.70
cost-2695,2025-07-13,clearwater-settlement,eks,dev,35.54
cost-2696,2025-07-13,clearwater-settlement,eks,uat,74.67
cost-2697,2025-07-13,clearwater-settlement,eks,prod,245.46
cost-2698,2025-07-13,clearwater-settlement,cloudwatch,dev,11.51
cost-2699,2025-07-13,clearwater-settlement,cloudwatch,uat,25.06
cost-2700,2025-07-13,clearwater-settlement,cloudwatch,prod,81.90
cost-2701,2025-07-13,clearwater-sales,ec2,dev,29.70
cost-2702,2025-07-13,clearwater-sales,ec2,uat,60.43
cost-2703,2025-07-13,clearwater-sales,ec2,prod,216.31
cost-2704,2025-07-13,clearwater-sales,rds,dev,15.60
cost-2705,2025-07-13,clearwater-sales,rds,uat,41.50
cost-2706,2025-07-13,clearwater-sales,rds,prod,132.27
cost-2707,2025-07-13,clearwater-sales,s3,dev,13.24
cost-2708,2025-07-13,clearwater-sales,s3,uat,25.09
cost-2709,2025-07-13,clearwater-sales,s3,prod,101.61
cost-2710,2025-07-13,clearwater-sales,lambda,dev,31.95
cost-2711,2025-07-13,clearwater-sales,lambda,uat,67.31
cost-2712,2025-07-13,clearwater-sales,lambda,prod,287.12
cost-2713,2025-07-13,clearwater-sales,eks,dev,12.06
cost-2714,2025-07-13,clearwater-sales,eks,uat,21.34
cost-2715,2025-07-13,clearwater-sales,eks,prod,90.37
cost-2716,2025-07-13,clearwater-sales,cloudwatch,dev,8.29
cost-2717,2025-07-13,clearwater-sales,cloudwatch,uat,17.82
cost-2718,2025-07-13,clearwater-sales,cloudwatch,prod,74.59
cost-2719,2025-07-13,clearwater-collateral,ec2,dev,13.15
cost-2720,2025-07-13,clearwater-collateral,ec2,uat,25.02
cost-2721,2025-07-13,clearwater-collateral,ec2,prod,99.75
cost-2722,2025-07-13,clearwater-collateral,rds,dev,33.04
cost-2723,2025-07-13,clearwater-collateral,rds,uat,62.01
cost-2724,2025-07-13,clearwater-collateral,rds,prod,244.00
cost-2725,2025-07-13,clearwater-collateral,s3,dev,27.67
cost-2726,2025-07-13,clearwater-collateral,s3,uat,62.70
cost-2727,2025-07-13,clearwater-collateral,s3,prod,173.50
cost-2728,2025-07-13,clearwater-collateral,lambda,dev,6.21
cost-2729,2025-07-13,clearwater-collateral,lambda,uat,13.54
cost-2730,2025-07-13,clearwater-collateral,lambda,prod,46.01
cost-2731,2025-07-13,clearwater-collateral,eks,dev,7.25
cost-2732,2025-07-13,clearwater-collateral,eks,uat,11.28
cost-2733,2025-07-13,clearwater-collateral,eks,prod,39.94
cost-2734,2025-07-13,clearwater-collateral,cloudwatch,dev,3.92
cost-2735,2025-07-13,clearwater-collateral,cloudwatch,uat,8.99
cost-2736,2025-07-13,clearwater-collateral,cloudwatch,prod,35.05
cost-2737,2025-07-14,clearwater-trade,ec2,dev,77.80
cost-2738,2025-07-14,clearwater-trade,ec2,uat,202.53
cost-2739,2025-07-14,clearwater-trade,ec2,prod,708.77
cost-2740,2025-07-14,clearwater-trade,rds,dev,63.13
cost-2741,2025-07-14,clearwater-trade,rds,uat,136.73
cost-2742,2025-07-14,clearwater-trade,rds,prod,474.94
cost-2743,2025-07-14,clearwater-trade,s3,dev,11.48
cost-2744,2025-07-14,clearwater-trade,s3,uat,23.66
cost-2745,2025-07-14,clearwater-trade,s3,prod,81.52
cost-2746,2025-07-14,clearwater-trade,lambda,dev,22.64
cost-2747,2025-07-14,clearwater-trade,lambda,uat,56.39
cost-2748,2025-07-14,clearwater-trade,lambda,prod,161.42
cost-2749,2025-07-14,clearwater-trade,eks,dev,52.24
cost-2750,2025-07-14,clearwater-trade,eks,uat,97.22
cost-2751,2025-07-14,clearwater-trade,eks,prod,369.81
cost-2752,2025-07-14,clearwater-trade,cloudwatch,dev,14.05
cost-2753,2025-07-14,clearwater-trade,cloudwatch,uat,24.90
cost-2754,2025-07-14,clearwater-trade,cloudwatch,prod,100.76
cost-2755,2025-07-14,clearwater-settlement,ec2,dev,58.50
cost-2756,2025-07-14,clearwater-settlement,ec2,uat,127.90
cost-2757,2025-07-14,clearwater-settlement,ec2,prod,410.80
cost-2758,2025-07-14,clearwater-settlement,rds,dev,68.92
cost-2759,2025-07-14,clearwater-settlement,rds,uat,146.38
cost-2760,2025-07-14,clearwater-settlement,rds,prod,468.57
cost-2761,2025-07-14,clearwater-settlement,s3,dev,16.73
cost-2762,2025-07-14,clearwater-settlement,s3,uat,35.94
cost-2763,2025-07-14,clearwater-settlement,s3,prod,114.85
cost-2764,2025-07-14,clearwater-settlement,lambda,dev,29.42
cost-2765,2025-07-14,clearwater-settlement,lambda,uat,58.24
cost-2766,2025-07-14,clearwater-settlement,lambda,prod,170.08
cost-2767,2025-07-14,clearwater-settlement,eks,dev,36.80
cost-2768,2025-07-14,clearwater-settlement,eks,uat,70.83
cost-2769,2025-07-14,clearwater-settlement,eks,prod,221.04
cost-2770,2025-07-14,clearwater-settlement,cloudwatch,dev,12.44
cost-2771,2025-07-14,clearwater-settlement,cloudwatch,uat,19.76
cost-2772,2025-07-14,clearwater-settlement,cloudwatch,prod,67.83
cost-2773,2025-07-14,clearwater-sales,ec2,dev,27.03
cost-2774,2025-07-14,clearwater-sales,ec2,uat,65.16
cost-2775,2025-07-14,clearwater-sales,ec2,prod,211.10
cost-2776,2025-07-14,clearwater-sales,rds,dev,16.02
cost-2777,2025-07-14,clearwater-sales,rds,uat,41.37
cost-2778,2025-07-14,clearwater-sales,rds,prod,116.90
cost-2779,2025-07-14,clearwater-sales,s3,dev,16.03
cost-2780,2025-07-14,clearwater-sales,s3,uat,27.37
cost-2781,2025-07-14,clearwater-sales,s3,prod,112.27
cost-2782,2025-07-14,clearwater-sales,lambda,dev,37.80
cost-2783,2025-07-14,clearwater-sales,lambda,uat,73.73
cost-2784,2025-07-14,clearwater-sales,lambda,prod,275.26
cost-2785,2025-07-14,clearwater-sales,eks,dev,13.25
cost-2786,2025-07-14,clearwater-sales,eks,uat,26.94
cost-2787,2025-07-14,clearwater-sales,eks,prod,74.56
cost-2788,2025-07-14,clearwater-sales,cloudwatch,dev,9.01
cost-2789,2025-07-14,clearwater-sales,cloudwatch,uat,22.02
cost-2790,2025-07-14,clearwater-sales,cloudwatch,prod,69.34
cost-2791,2025-07-14,clearwater-collateral,ec2,dev,13.13
cost-2792,2025-07-14,clearwater-collateral,ec2,uat,29.15
cost-2793,2025-07-14,clearwater-collateral,ec2,prod,85.24
cost-2794,2025-07-14,clearwater-collateral,rds,dev,30.37
cost-2795,2025-07-14,clearwater-collateral,rds,uat,57.57
cost-2796,2025-07-14,clearwater-collateral,rds,prod,200.32
cost-2797,2025-07-14,clearwater-collateral,s3,dev,23.60
cost-2798,2025-07-14,clearwater-collateral,s3,uat,57.76
cost-2799,2025-07-14,clearwater-collateral,s3,prod,211.48
cost-2800,2025-07-14,clearwater-collateral,lambda,dev,7.19
cost-2801,2025-07-14,clearwater-collateral,lambda,uat,14.66
cost-2802,2025-07-14,clearwater-collateral,lambda,prod,48.82
cost-2803,2025-07-14,clearwater-collateral,eks,dev,6.33
cost-2804,2025-07-14,clearwater-collateral,eks,uat,14.51
cost-2805,2025-07-14,clearwater-collateral,eks,prod,47.11
cost-2806,2025-07-14,clearwater-collateral,cloudwatch,dev,4.73
cost-2807,2025-07-14,clearwater-collateral,cloudwatch,uat,8.75
cost-2808,2025-07-14,clearwater-collateral,cloudwatch,prod,36.09
cost-2809,2025-07-15,clearwater-trade,ec2,dev,77.33
cost-2810,2025-07-15,clearwater-trade,ec2,uat,200.34
cost-2811,2025-07-15,clearwater-trade,ec2,prod,546.72
cost-2812,2025-07-15,clearwater-trade,rds,dev,62.76
cost-2813,2025-07-15,clearwater-trade,rds,uat,121.66
cost-2814,2025-07-15,clearwater-trade,rds,prod,448.89
cost-2815,2025-07-15,clearwater-trade,s3,dev,12.71
cost-2816,2025-07-15,clearwater-trade,s3,uat,22.72
cost-2817,2025-07-15,clearwater-trade,s3,prod,81.33
cost-2818,2025-07-15,clearwater-trade,lambda,dev,23.83
cost-2819,2025-07-15,clearwater-trade,lambda,uat,48.77
cost-2820,2025-07-15,clearwater-trade,lambda,prod,166.94
cost-2821,2025-07-15,clearwater-trade,eks,dev,51.60
cost-2822,2025-07-15,clearwater-trade,eks,uat,102.35
cost-2823,2025-07-15,clearwater-trade,eks,prod,376.08
cost-2824,2025-07-15,clearwater-trade,cloudwatch,dev,11.02
cost-2825,2025-07-15,clearwater-trade,cloudwatch,uat,25.43
cost-2826,2025-07-15,clearwater-trade,cloudwatch,prod,96.14
cost-2827,2025-07-15,clearwater-settlement,ec2,dev,62.76
cost-2828,2025-07-15,clearwater-settlement,ec2,uat,148.87
cost-2829,2025-07-15,clearwater-settlement,ec2,prod,542.91
cost-2830,2025-07-15,clearwater-settlement,rds,dev,69.43
cost-2831,2025-07-15,clearwater-settlement,rds,uat,135.47
cost-2832,2025-07-15,clearwater-settlement,rds,prod,447.92
cost-2833,2025-07-15,clearwater-settlement,s3,dev,20.21
cost-2834,2025-07-15,clearwater-settlement,s3,uat,33.79
cost-2835,2025-07-15,clearwater-settlement,s3,prod,143.45
cost-2836,2025-07-15,clearwater-settlement,lambda,dev,24.87
cost-2837,2025-07-15,clearwater-settlement,lambda,uat,56.89
cost-2838,2025-07-15,clearwater-settlement,lambda,prod,214.17
cost-2839,2025-07-15,clearwater-settlement,eks,dev,29.18
cost-2840,2025-07-15,clearwater-settlement,eks,uat,66.89
cost-2841,2025-07-15,clearwater-settlement,eks,prod,223.23
cost-2842,2025-07-15,clearwater-settlement,cloudwatch,dev,12.53
cost-2843,2025-07-15,clearwater-settlement,cloudwatch,uat,25.76
cost-2844,2025-07-15,clearwater-settlement,cloudwatch,prod,70.48
cost-2845,2025-07-15,clearwater-sales,ec2,dev,29.82
cost-2846,2025-07-15,clearwater-sales,ec2,uat,52.42
cost-2847,2025-07-15,clearwater-sales,ec2,prod,227.56
cost-2848,2025-07-15,clearwater-sales,rds,dev,17.64
cost-2849,2025-07-15,clearwater-sales,rds,uat,39.77
cost-2850,2025-07-15,clearwater-sales,rds,prod,122.77
cost-2851,2025-07-15,clearwater-sales,s3,dev,13.63
cost-2852,2025-07-15,clearwater-sales,s3,uat,26.81
cost-2853,2025-07-15,clearwater-sales,s3,prod,116.70
cost-2854,2025-07-15,clearwater-sales,lambda,dev,37.33
cost-2855,2025-07-15,clearwater-sales,lambda,uat,71.37
cost-2856,2025-07-15,clearwater-sales,lambda,prod,254.51
cost-2857,2025-07-15,clearwater-sales,eks,dev,13.80
cost-2858,2025-07-15,clearwater-sales,eks,uat,23.22
cost-2859,2025-07-15,clearwater-sales,eks,prod,97.78
cost-2860,2025-07-15,clearwater-sales,cloudwatch,dev,9.29
cost-2861,2025-07-15,clearwater-sales,cloudwatch,uat,17.75
cost-2862,2025-07-15,clearwater-sales,cloudwatch,prod,59.89
cost-2863,2025-07-15,clearwater-collateral,ec2,dev,13.58
cost-2864,2025-07-15,clearwater-collateral,ec2,uat,26.50
cost-2865,2025-07-15,clearwater-collateral,ec2,prod,94.76
cost-2866,2025-07-15,clearwater-collateral,rds,dev,36.58
cost-2867,2025-07-15,clearwater-collateral,rds,uat,65.67
cost-2868,2025-07-15,clearwater-collateral,rds,prod,202.63
cost-2869,2025-07-15,clearwater-collateral,s3,dev,23.56
cost-2870,2025-07-15,clearwater-collateral,s3,uat,48.05
cost-2871,2025-07-15,clearwater-collateral,s3,prod,189.74
cost-2872,2025-07-15,clearwater-collateral,lambda,dev,6.93
cost-2873,2025-07-15,clearwater-collateral,lambda,uat,13.78
cost-2874,2025-07-15,clearwater-collateral,lambda,prod,53.55
cost-2875,2025-07-15,clearwater-collateral,eks,dev,6.25
cost-2876,2025-07-15,clearwater-collateral,eks,uat,13.11
cost-2877,2025-07-15,clearwater-collateral,eks,prod,43.85
cost-2878,2025-07-15,clearwater-collateral,cloudwatch,dev,4.98
cost-2879,2025-07-15,clearwater-collateral,cloudwatch,uat,8.61
cost-2880,2025-07-15,clearwater-collateral,cloudwatch,prod,35.34
cost-2881,2025-07-16,clearwater-trade,ec2,dev,98.98
cost-2882,2025-07-16,clearwater-trade,ec2,uat,154.06
cost-2883,2025-07-16,clearwater-trade,ec2,prod,658.48
cost-2884,2025-07-16,clearwater-trade,rds,dev,56.18
cost-2885,2025-07-16,clearwater-trade,rds,uat,137.96
cost-2886,2025-07-16,clearwater-trade,rds,prod,506.45
cost-2887,2025-07-16,clearwater-trade,s3,dev,13.52
cost-2888,2025-07-16,clearwater-trade,s3,uat,22.18
cost-2889,2025-07-16,clearwater-trade,s3,prod,78.93
cost-2890,2025-07-16,clearwater-trade,lambda,dev,22.94
cost-2891,2025-07-16,clearwater-trade,lambda,uat,51.55
cost-2892,2025-07-16,clearwater-trade,lambda,prod,167.42
cost-2893,2025-07-16,clearwater-trade,eks,dev,44.05
cost-2894,2025-07-16,clearwater-trade,eks,uat,110.64
cost-2895,2025-07-16,clearwater-trade,eks,prod,360.50
cost-2896,2025-07-16,clearwater-trade,cloudwatch,dev,11.88
cost-2897,2025-07-16,clearwater-trade,cloudwatch,uat,28.58
cost-2898,2025-07-16,clearwater-trade,cloudwatch,prod,93.86
cost-2899,2025-07-16,clearwater-settlement,ec2,dev,75.04
cost-2900,2025-07-16,clearwater-settlement,ec2,uat,117.89
cost-2901,2025-07-16,clearwater-settlement,ec2,prod,418.14
cost-2902,2025-07-16,clearwater-settlement,rds,dev,71.61
cost-2903,2025-07-16,clearwater-settlement,rds,uat,141.05
cost-2904,2025-07-16,clearwater-settlement,rds,prod,471.06
cost-2905,2025-07-16,clearwater-settlement,s3,dev,19.33
cost-2906,2025-07-16,clearwater-settlement,s3,uat,36.62
cost-2907,2025-07-16,clearwater-settlement,s3,prod,107.39
cost-2908,2025-07-16,clearwater-settlement,lambda,dev,27.82
cost-2909,2025-07-16,clearwater-settlement,lambda,uat,56.95
cost-2910,2025-07-16,clearwater-settlement,lambda,prod,186.30
cost-2911,2025-07-16,clearwater-settlement,eks,dev,36.87
cost-2912,2025-07-16,clearwater-settlement,eks,uat,68.78
cost-2913,2025-07-16,clearwater-settlement,eks,prod,253.65
cost-2914,2025-07-16,clearwater-settlement,cloudwatch,dev,12.78
cost-2915,2025-07-16,clearwater-settlement,cloudwatch,uat,20.62
cost-2916,2025-07-16,clearwater-settlement,cloudwatch,prod,79.43
cost-2917,2025-07-16,clearwater-sales,ec2,dev,27.68
cost-2918,2025-07-16,clearwater-sales,ec2,uat,61.19
cost-2919,2025-07-16,clearwater-sales,ec2,prod,184.45
cost-2920,2025-07-16,clearwater-sales,rds,dev,18.32
cost-2921,2025-07-16,clearwater-sales,rds,uat,34.65
cost-2922,2025-07-16,clearwater-sales,rds,prod,126.77
cost-2923,2025-07-16,clearwater-sales,s3,dev,14.95
cost-2924,2025-07-16,clearwater-sales,s3,uat,32.78
cost-2925,2025-07-16,clearwater-sales,s3,prod,110.56
cost-2926,2025-07-16,clearwater-sales,lambda,dev,39.10
cost-2927,2025-07-16,clearwater-sales,lambda,uat,67.66
cost-2928,2025-07-16,clearwater-sales,lambda,prod,281.59
cost-2929,2025-07-16,clearwater-sales,eks,dev,10.49
cost-2930,2025-07-16,clearwater-sales,eks,uat,24.03
cost-2931,2025-07-16,clearwater-sales,eks,prod,73.31
cost-2932,2025-07-16,clearwater-sales,cloudwatch,dev,10.95
cost-2933,2025-07-16,clearwater-sales,cloudwatch,uat,17.78
cost-2934,2025-07-16,clearwater-sales,cloudwatch,prod,60.41
cost-2935,2025-07-16,clearwater-collateral,ec2,dev,13.90
cost-2936,2025-07-16,clearwater-collateral,ec2,uat,28.30
cost-2937,2025-07-16,clearwater-collateral,ec2,prod,106.20
cost-2938,2025-07-16,clearwater-collateral,rds,dev,30.97
cost-2939,2025-07-16,clearwater-collateral,rds,uat,58.76
cost-2940,2025-07-16,clearwater-collateral,rds,prod,202.86
cost-2941,2025-07-16,clearwater-collateral,s3,dev,27.12
cost-2942,2025-07-16,clearwater-collateral,s3,uat,56.12
cost-2943,2025-07-16,clearwater-collateral,s3,prod,182.10
cost-2944,2025-07-16,clearwater-collateral,lambda,dev,7.45
cost-2945,2025-07-16,clearwater-collateral,lambda,uat,12.75
cost-2946,2025-07-16,clearwater-collateral,lambda,prod,43.32
cost-2947,2025-07-16,clearwater-collateral,eks,dev,6.73
cost-2948,2025-07-16,clearwater-collateral,eks,uat,11.40
cost-2949,2025-07-16,clearwater-collateral,eks,prod,48.04
cost-2950,2025-07-16,clearwater-collateral,cloudwatch,dev,4.40
cost-2951,2025-07-16,clearwater-collateral,cloudwatch,uat,9.00
cost-2952,2025-07-16,clearwater-collateral,cloudwatch,prod,27.91
cost-2953,2025-07-17,clearwater-trade,ec2,dev,77.50
cost-2954,2025-07-17,clearwater-trade,ec2,uat,162.14
cost-2955,2025-07-17,clearwater-trade,ec2,prod,649.97
cost-2956,2025-07-17,clearwater-trade,rds,dev,64.91
cost-2957,2025-07-17,clearwater-trade,rds,uat,134.62
cost-2958,2025-07-17,clearwater-trade,rds,prod,453.80
cost-2959,2025-07-17,clearwater-trade,s3,dev,10.97
cost-2960,2025-07-17,clearwater-trade,s3,uat,26.81
cost-2961,2025-07-17,clearwater-trade,s3,prod,82.21
cost-2962,2025-07-17,clearwater-trade,lambda,dev,24.16
cost-2963,2025-07-17,clearwater-trade,lambda,uat,55.14
